"name","payment_month","payment_year","count","sum"
"Ana Bradley",2,2007,4,19.96
"Ana Bradley",3,2007,16,71.84
"Ana Bradley",4,2007,12,72.88
"Ana Bradley",5,2007,1,2.99
"Clara Shaw",2,2007,6,22.94
"Clara Shaw",3,2007,16,72.84
"Clara Shaw",4,2007,18,93.82
"Curtis Irby",2,2007,6,22.94
"Curtis Irby",3,2007,17,86.83
"Curtis Irby",4,2007,14,54.86
"Curtis Irby",5,2007,1,2.99
"Eleanor Hunt",2,2007,5,22.95
"Eleanor Hunt",3,2007,18,87.82
"Eleanor Hunt",4,2007,22,100.78
"Karl Seal",2,2007,9,41.91
"Karl Seal",3,2007,13,76.87
"Karl Seal",4,2007,20,89.8
"Marcia Dean",2,2007,8,37.92
"Marcia Dean",3,2007,10,53.9
"Marcia Dean",4,2007,20,73.8
"Marcia Dean",5,2007,1,0.99
"Marion Snyder",2,2007,8,44.92
"Marion Snyder",3,2007,12,58.88
"Marion Snyder",4,2007,18,85.82
"Marion Snyder",5,2007,1,4.99
"Mike Way",2,2007,6,35.94
"Mike Way",3,2007,15,64.85
"Mike Way",4,2007,12,61.88
"Rhonda Kennedy",2,2007,4,19.96
"Rhonda Kennedy",3,2007,15,74.85
"Rhonda Kennedy",4,2007,19,96.81
"Tommy Collazo",2,2007,7,25.93
"Tommy Collazo",3,2007,12,67.88
"Tommy Collazo",4,2007,18,89.82
